playlistId;title;description;publishedAt;itemCount
PL63lwGZ_8vsmS_Ko3D0_xixtp7rwXn-Q9;مقابلة بشار الأسد;;2015-02-11T21:59:51.000Z;4
PL63lwGZ_8vsld481BfrxS2uOHrGFHWDQZ;أرشيف بي بي سي;انطلقت إذاعة البي بي سي في الثالث من كانون الثاني/ يناير في عامها السابع والسبعين بي بي سي ستقوم بنشر الأرشيف من مقابلات حصرية وأخبار تاريخية على اليوتيوب كل خميس;2015-01-30T12:23:49.000Z;10
PL63lwGZ_8vsnXFs7aROjOP9Hd6pvZ0HIo;منوعات من العالم;اخبار  من أنحاء العالم;2015-01-23T17:23:44.000Z;322
PL63lwGZ_8vslP-80HBEtpJoJ5r-1BCBf2;شارلي ابدو;;2015-01-15T11:28:22.000Z;11
PL63lwGZ_8vskhe3XA_Q-8tpAtddGtM1kY;أبرز أخبار ٢٠١٤;;2014-12-30T10:47:08.000Z;6
PL63lwGZ_8vsnwFnCVVHZNEyCmA4Ap5roF;الانتخابات التونسية;;2014-12-19T18:15:21.000Z;5
PL63lwGZ_8vslGS5mKb60decPlhVoyo0vz;بي بي سي ترند - BBC Trend;;2014-12-14T09:28:02.000Z;18
PL63lwGZ_8vskjn-6f7zbyVEVu0_TSDl58;"الحرب على تنظيم ""الدولة الاسلامية"" (داعش)";تغطية بي بي سي عربي ل تنظيم الدولة الإسلامية داعش من اخبار وافلام وثائقية;2014-11-28T11:01:29.000Z;289
PL63lwGZ_8vslBE8XXQiHML8dCkEIWU13q;الانتخابات البحرينية;;2014-11-25T13:22:50.000Z;3
PL63lwGZ_8vsnjg4nvae5BaWl7eWcnk0E3;بتوقيت مصر;بتوقيت مصر برنامج اسبوعي يطرح أهم الأسئلة التي يستقيها فريق البرنامج من الشارع المصري ليطرحها ح مقدم البرنامج في مناقشة مستمرة لأهم القضايا والهموم في مصر;2014-11-22T15:01:28.000Z;95
PL63lwGZ_8vsmrakSqcEZm0T6ZQxrrLWcw;هجوم على كنيس يهودي في القدس;"قتل أربعة إسرائيلين على الأقل وجرح سبعة آخرون في ما وصفته الشرطة الإسرائيلية بأنه ""هجوم إرهابي"" على كنيس يهودي في القدس.
وأضافت الشرطة أن شخصين مسلحين بسكاكين وفؤوس ومسدس نفذا الهجوم في شارع هاراف شيمون أغاسي حيث تقطن غالبية من اليهود المتشددين في حي هار نوف بالقدس.";2014-11-19T11:28:01.000Z;5
PL63lwGZ_8vsmQvMqvvCdb0QLJJBLRFPHz;مهرجان بي بي سي عربي BBC Arabic Festival;‘Films & Documentaries from a Changing Arab World’ // أفلام ووثائقيات من عالم عربي متغير;2014-09-19T09:41:01.000Z;115
PL63lwGZ_8vsk90uvB6Sk-mUJqdlvSroUn;دنيانا DUNYANA;;2014-05-22T13:03:38.000Z;346
